id,x,y,z,role
0,0.0000,-1.7250,0.0000,start
1,-0.7125,11.6550,0.4750,waypoint
2,-8.7300,11.8425,0.4750,waypoint
3,-10.5375,16.3275,0.4750,waypoint
4,-15.0225,17.3700,0.4750,waypoint
5,-15.6000,23.2800,0.4750,waypoint
6,-15.1200,31.8600,0.6000,waypoint
7,-14.9325,41.2050,1.1650,waypoint
8,-20.4600,43.1100,1.1650,waypoint
9,-20.6550,47.7825,1.1650,waypoint
10,-4.0500,47.9700,1.1650,waypoint
11,-4.2450,42.5400,1.1650,waypoint
12,-13.5000,41.5500,1.1650,waypoint
13,-12.9225,34.6275,0.4750,waypoint
14,2.7225,34.5300,0.4750,waypoint
15,11.1225,33.0075,0.1000,waypoint
16,16.2750,31.2900,0.4750,waypoint
17,17.6100,29.1900,0.4750,waypoint
18,25.7175,29.9550,2.2000,waypoint
19,34.5975,29.9550,2.3600,waypoint
20,33.9225,24.4275,2.2000,waypoint
21,17.8950,24.6150,0.4750,waypoint
22,19.0425,16.8000,0.4750,waypoint
23,26.4825,17.1825,1.6700,waypoint
24,31.6350,15.4650,1.6700,waypoint
25,33.1650,15.1800,1.6700,waypoint
26,33.6000,21.3750,2.7000,waypoint
27,34.8825,21.3750,2.7000,waypoint
28,35.0700,15.6600,3.7500,waypoint
29,31.6350,15.4650,3.7500,waypoint
30,29.5350,16.3275,3.7500,waypoint
31,29.9175,20.6175,3.7500,waypoint
32,32.9250,18.4500,3.7500,end
